NO,SMILES,y_true,temp,elem,mol,SMILES_Kmeans,Bemis_Murcko
566,*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C)c(C)c1,363.5,1.1664009,1.0668372,1.1477017,1.0677277,1.0926543
277,*c1ccc(C(=O)c2cccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)cc1,265.0,-0.7673522,-0.5848043,-0.7018742,-0.58837384,-0.7036959
667,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc(N(c5ccc(*)cc5)c5ccc(-c6ccc(/C=C(\c7ccccc7)c7ccc(-c8ccc(C(F)(F)F)cc8)cc7)cc6)cc5)cc3)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,277.0,-0.449518,-0.5321807,-0.41266826,-0.40071684,-0.2461148
60,*C12CC3CC(C1)CC(N1C(=O)c4ccc(C(=O)c5ccc6c(c5)C(O)N(*)C6O)cc4C1=O)(C3)C2,255.0,-0.8353255,-0.9315385,-0.7308413,-0.76489556,-0.65947783
770,*c1ccc(C(=O)NC2=CC3C(=O)c4cc(NC(=O)c5ccc(N6C(=O)c7ccc(-c8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5)ccc4OC3C=C2)cc1,356.0,0.86864763,0.8408472,0.9056696,0.78404987,0.7962094
150,*N1C(=O)C2CCC(C3CCC4C(=O)N(c5ccc(Oc6ccc(C(c7ccc(Oc8ccc(*)cc8)cc7)(C(F)(F)F)C(F)(F)F)cc6)cc5)C(=O)C4C3)CC2C1=O,236.1,-1.1873864,-0.81561583,-1.0853202,-0.9836103,-1.0350357
547,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(C5(c6ccc(*)cc6)c6cc(F)ccc6-c6ccc(F)cc65)cc3)C4=O)cc2C1=O,265.59,-0.63131326,-0.66523296,-0.5087264,-0.5063364,-0.09178512
197,*N1C(=O)c2cccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(Oc6ccc(*)cc6)cc5)cc3)C4=O)c2C1=O,253.0,-0.81392515,-0.95100874,-0.856664,-0.75496805,-0.7493719
485,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(C(c5ccc(*)c(O)c5)(C(F)(F)F)C(F)(F)F)cc3O)C4=O)cc2C1=O,324.8767678,0.42890853,0.24837774,0.24977466,0.33878422,0.31895408
386,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C(c6ccc(Oc7ccc(*)cc7)cc6)(C(F)(F)F)C(F)(F)F)cc5)cc3)C4=O)cc2C1=O,237.0,-1.1939509,-1.2222372,-1.0841391,-1.0669227,-1.0449082
344,*N1C(=O)c2ccc(-c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccccc5Oc5ccc(*)cc5)cc3)C4=O)cc2C1=O,272.0,-0.57383144,-0.7088459,-0.569837,-0.561496,-0.48367333
15,*c1cccc(Oc2cccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)c2)c1,287.0,-0.2735574,-0.3427106,-0.34747308,-0.18831454,0.041691113
47,*N1C(O)c2cc3c(cc2C1O)C(C(F)(F)F)(C(F)(F)F)c1cc2c(cc1O3)C(=O)N(c1ccc(-c3ccc(*)cc3C(F)(F)F)c(C(F)(F)F)c1)C2=O,420.0,0.6500784,1.6601528,1.5523679,1.6397023,2.0902708
40,*c1ccc(P(C)(=O)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=C)N(*)C6=O)cc4C3=O)cc2)cc1,311.0,0.06995168,0.07806918,-0.006706725,0.06670117,0.05186055
365,*c1c(C)c(C)c(N2C(=O)c3cc4c(cc3C2=O)C(c2ccccc2)(C(F)(F)F)c2cc3c(cc2O4)C(=O)N(*)C3=O)c(C)c1C,394.0,1.6641079,1.4413416,1.18719,-0.21892096,1.4458263
293,*c1ccc(C(=O)c2ccccc2N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,289.0,-0.34232143,-0.31503806,-0.35196617,-0.19017476,-0.28155065
670,*N1C(=O)C2CCC(C3CCC4C(=O)N(c5ccc(Oc6ccc(C(C7=C=C=C(Oc8ccc(*)cc8)C=C7)(C(F)(F)F)C(F)(F)F)cc6)cc5)C(=O)C4C3)CC2C1=O,220.0,-1.4572802,-1.4674683,-1.2464149,-0.3350758,-1.1742332
582,*N1C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(*)cc3)C4=O)cc2C1=O,342.0,0.67094743,0.39548028,0.21975574,0.61385643,0.5303004
454,*N1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(c3ccc5c(c3)C3(c6ccccc6-c6ccc(*)cc63)c3ccccc3-5)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,360.0,0.8983708,0.76968974,0.86604714,1.1716872,0.66996807
